Title,Author,Lector,Book_Score,Number_of_ratings_book,Lector_Score,Number_of_ratings_lector,Duration,Original_Category,Format,Language,Publication_Date,Volume_Info,Gender,Category
Głód. Książka laureata literackiej Nagrody Nobla,Knut Hamsun,Wojciech Żołądkowicz,4.3,95.0,4.7,92.0,6.47,"Powieści, Klasyka, Nowele, poezja i dramat, Dramat, Poezja",Audiobook,Polski,2024-02-24,Tom 18 - Genialni myśliciele,M,powieści
Niebezpieczna przeszłość,Róża Lewanowicz,Wiktoria Wolańska,4.6,101.0,4.4,92.0,14.4,"Powieści, Kryminały, Thrillery",Audiobook,Polski,2022-05-09,Tom 1 - Życie w mundurze,F,powieści
Znachor,Tadeusz Dołęga-Mostowicz,Grzegorz Woś,4.7,95.0,4.8,92.0,11.25,"Powieści, Powieści współczesne, Klasyka",Audiobook,Polski,2023-05-24,Nie dotyczy,M,powieści
Tron z czaszek. Księga 2,Peter V. Brett,Filip Kosior,4.7,938.0,4.9,916.0,12.23,Fantastyka,Audiobook,Polski,2015-10-16,Tom 9 - Trylogia demonów,M,fantastyka
Czuła przewodniczka. Kobieca droga do siebie,de Barbaro Natalia,Ostaszewska Maja,4.5,912.0,4.8,916.0,7.82,Rozwój osobisty,Audiobook,Polski,2024-02-10,Nie dotyczy,F,rozwój osobisty
Skazany na zło,Adrian Bednarek,Filip Kosior,4.6,918.0,4.9,915.0,8.12,"Kryminały, Thrillery, Thrillery psychologiczne",Audiobook,Polski,2022-10-25,Nie dotyczy,M,kryminały
Wywyższenie Horusa,Dan Abnett,Filip Kosior,4.7,912.0,4.9,912.0,12.58,Sci-fi,Audiobook,Polski,2022-01-31,Tom 1 - Herezja Horusa,M,sci-fi
Wilkołak,Wojciech Chmielarz,Krzysztof Zalewski,4.4,916.0,4.2,911.0,12.82,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2021-06-02,Tom 3 - Trylogia gliwicka,M,kryminały
Fascynacja,Adrian Bednarek,Filip Kosior,4.5,910.0,5.0,911.0,10.5,"Kryminały, Thrillery, Thrillery psychologiczne",Audiobook,Polski,2022-10-18,Tom 3 - Oskar Blajer,M,kryminały
Zakon Świątyni Słońca,Kristoffer Lind,Mateusz Drozda,4.2,94.0,4.8,91.0,40.0,"Biografie, Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2023-05-19,Tom 1 - Potęga kultu,M,biografie
Czerwony Kapturek,Bracia Grimm,Masza Bogucka,4.6,102.0,4.6,91.0,7.0,"Dla dzieci, Dla dzieci w wieku 6+, Klasyka dla dzieci, Bajki i baśnie",Audiobook,Polski,2020-04-27,Baśnie Braci Grimm,F,dla dzieci
Bunia kontra fakir. Mazurscy w podróży. Tom 1,Agnieszka Stelmaszyk,Wojciech Chorąży,4.8,94.0,4.8,91.0,4.12,"Dla dzieci, Dla dzieci w wieku 6+, Książki przygodowe dla dzieci",Audiobook,Polski,2020-02-12,Nie dotyczy,M,dla dzieci
Srebro głupców,Łukasz Orbitowski,Aleksander Bromberek,4.2,92.0,4.2,91.0,1.2,Fantastyka,Audiobook,Polski,2022-02-17,Nie dotyczy,M,fantastyka
Pogięte bajki,Marcin Pełka,Mateusz Drozda,3.9,93.0,4.6,91.0,5.05,"Fantastyka, Rozrywka i humor, Satyry i parodie",Audiobook,Polski,2024-01-19,Pogięte bajki,M,fantastyka
Jądro ciemności,Joseph Conrad,Wiktor Zborowski,4.1,88.0,4.6,91.0,6.13,Klasyka,Audiobook,Polski,2023-02-04,Nie dotyczy,M,klasyka
Śmierć w Żlebie Kirkora,Janusz Osęka,Artur Ziajkiewicz,4.3,95.0,4.5,91.0,2.78,"Kryminały, Kryminały klasyczne",Audiobook,Polski,2022-05-31,Tom 2 - Kryminał z myszką,M,kryminały
Krypta Hindenburga,Krzysztof Beśka,Piotr Grabowski,4.4,94.0,4.7,91.0,13.4,"Kryminały, Powieści kryminalne",Audiobook,Polski,2019-11-25,Tom 2 - Dziennikarz Tomasz Horn,M,kryminały
Spadek nieboszczyka,Iwona Mejza,Marcin Stec,4.4,94.0,4.6,91.0,7.77,"Kryminały, Powieści kryminalne, Kryminały klasyczne, Powieści detektywistyczne",Audiobook,Polski,2023-02-20,Tom 2 - Komisarz Ożegalski,M,kryminały
Dziewczyna z sąsiedztwa,Jack Ketchum,Robert Jarociński,4.6,94.0,4.7,91.0,9.15,"Kryminały, Thrillery psychologiczne",Audiobook,Polski,2016-10-18,Nie dotyczy,M,kryminały
Podejrzany bez dwóch zdań,Jacek Getner,Donata Cieślik,4.4,91.0,4.5,91.0,8.05,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2021-05-04,Nie dotyczy,F,kryminały
Odwet,Steffen Jacobsen,Jacek Rozenek,4.5,101.0,4.7,91.0,13.68,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2023-06-28,Tom 2 - Michael Sander & Lene Jensen,M,kryminały
Pani na Kopicach,Gabriela Anna Kańtor,Andrzej Hausner,4.6,94.0,4.8,91.0,5.0,Powieści,Audiobook,Polski,2021-02-04,Tom 2 - Joanna Gryzik,M,powieści
Ostatnie takie lato,Nina Zawadzka,Agata Skórska,4.6,99.0,4.7,91.0,10.77,Powieści,Audiobook,Polski,2024-07-03,Nie dotyczy,F,powieści
Westerplatte,Jacek Komuda,Leszek Filipowicz,4.8,94.0,4.8,91.0,14.83,"Powieści, Powieści historyczne",Audiobook,Polski,2019-09-04,Tom 2 - Polscy bohaterowie,M,powieści
Noble House,James Clavell,Filip Kosior,4.8,94.0,4.9,91.0,45.92,"Powieści, Powieści historyczne, Kryminały",Audiobook,Polski,2022-10-25,Tom 4 - Saga Azjatycka,M,powieści
"Cześć, mam na imię Michał",Michał Krupa,Mateusz Drozda,4.7,91.0,4.9,91.0,5.53,"Powieści, Powieści współczesne",Audiobook,Polski,2024-04-17,Nie dotyczy,M,powieści
W zapomnieniu,Lingas-Łoniewska Agnieszka,Kim Grygierzec,4.4,103.0,4.5,91.0,9.67,Romans,Audiobook,Polski,2023-07-14,Nie dotyczy,U,romans
Zima zasypie miłością,Karolina Wilczyńska,Karolina Kalina,4.5,94.0,4.7,91.0,7.45,Romans,Audiobook,Polski,2024-05-21,Nie dotyczy,F,romans
A potem przyszła wiosna,Agnieszka Olejnik,Lena Schimscheiner,4.5,92.0,4.6,91.0,10.82,Romans,Audiobook,Polski,2022-07-06,Nie dotyczy,F,romans
Porzucona narzeczona,Magdalena Krauze,Agnieszka Baranowska,4.4,90.0,4.5,91.0,9.05,"Romans, Romans sensacyjny",Audiobook,Polski,2021-10-28,Nie dotyczy,F,romans
Chłopki. Opowieść o naszych babkach,Joanna Kuciel-Frydryszak,Maria Peszek,4.8,9556.0,4.8,9074.0,15.25,"Literatura faktu, Społeczeństwo i kultura, Historia",Audiobook,Polski,2023-05-17,Nie dotyczy,M,literatura faktu
Trzy siostry,Heather Morris,Filip Kosior,4.8,919.0,4.9,907.0,11.37,"Powieści, Powieści historyczne",Audiobook,Polski,2021-11-10,Tom 3 - Tatuażysta z Auschwitz,M,powieści
Za granicą,Wojciech Chmielarz,Maciej Więckowski,4.2,911.0,4.6,904.0,10.87,"Kryminały, Thrillery",Audiobook,Polski,2023-05-31,Nie dotyczy,M,kryminały
Virion. Wyrocznia,Andrzej Ziemiański,Wojciech Żołądkiewicz,4.8,946.0,4.9,902.0,14.77,Fantastyka,Audiobook,Polski,2017-10-11,Tom 1 - Imperium Achai,M,fantastyka
Prywatne armie świata,Zbigniew Parafianowicz,Zbigniew Parafianowicz,4.5,89.0,4.5,90.0,4.58,"Biografie, Literatura faktu",Audiobook,Polski,2022-07-07,Nie dotyczy,M,biografie
Once upon a time,Anna Szafrańska,Gaya Rosa,3.9,92.0,4.2,90.0,6.83,"Dla młodzieży, Dla młodzieży w wieku 14+, Pierwsza miłość",Audiobook,Polski,2023-03-16,Tom 1 - Fairy Tales,F,dla młodzieży
Rozmyślania,Marek Aureliusz,Marcin Popczyński,4.5,98.0,4.7,90.0,4.75,Klasyka,Audiobook,Polski,2023-08-22,Nie dotyczy,M,klasyka
Tekst,Dmitry Glukhovsky,Przemysław Bluszcz,4.6,93.0,4.8,90.0,12.92,"Kryminały, Thrillery",Audiobook,Polski,2024-01-20,Nie dotyczy,M,kryminały
Złe,Michał Jan Chmielewski,Wojciech Masiak,4.8,94.0,4.9,90.0,7.03,"Kryminały, Thrillery, Kryminały klasyczne",Audiobook,Polski,2020-11-01,Nie dotyczy,M,kryminały
Martwe anioły,Veronica Sjöstrand,Ewa Jakubowicz,4.3,100.0,4.4,90.0,7.47,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2022-05-13,Tom 1 - Althea Molin,F,kryminały
Rzeczpospolita obojga narodów.Srebrny wiek,Paweł Jasienica,Marcin Popczyński,4.8,93.0,4.9,90.0,15.58,"Literatura faktu, Historia",Audiobook,Polski,2018-02-20,Tom 1 - Rzeczpospolita obojga narodów,M,literatura faktu
"Kobiety ze słynnych obrazów. Muzy, modelki, kochanki",Iwona Kienzler,Ewa Mateuszuk,4.3,91.0,4.1,90.0,10.42,"Literatura faktu, Literatura i sztuka",Audiobook,Polski,2020-04-07,Nie dotyczy,F,literatura faktu
Wilki,Wajrak Adam,Siemianowski Roch,4.9,90.0,5.0,90.0,7.13,"Literatura faktu, Przyroda i nauka",Audiobook,Polski,2024-02-10,Nie dotyczy,M,literatura faktu
Dlaczego koty boją się ogórków?,Agnieszka Defus,Anna Hebda,4.3,91.0,4.0,90.0,9.83,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2024-05-22,Nie dotyczy,F,literatura faktu
Długi płatek morza,Isabel Allende,Ewa Abart,4.4,93.0,4.5,90.0,10.45,"Powieści, Powieści historyczne",Audiobook,Polski,2020-06-03,Nie dotyczy,F,powieści
Dwieście wiosen. Tom 4. Aksamitka,Grażyna Jeromin-Gałuszka,Donata Cieślik,4.7,91.0,4.8,90.0,9.93,"Powieści, Powieści historyczne",Audiobook,Polski,2020-10-06,Tom 4 - Dwieście wiosen,F,powieści
Wespazjan. Tom 4. Utracony orzeł Rzymu,Robert Fabbri,Roch Siemianowski,4.8,91.0,4.9,90.0,15.55,"Powieści, Powieści obyczajowe",Audiobook,Polski,2020-02-25,Tom 4 - Wespazjan,M,powieści
Oleńka. Panienka z Białego Dworu,Wioletta Sawicka,Joanna Gajór,4.7,89.0,4.8,90.0,9.52,"Powieści, Romans, Romans sensacyjny, Romans historyczny, Sagi rodzinne",Audiobook,Polski,2024-04-08,Tom 1 - Wiek miłości,F,powieści
Ostatni dzień roku,Katarzyna Misiołek,Joanna Domańska,4.2,89.0,4.5,90.0,10.83,Romans,Audiobook,Polski,2021-06-01,Nie dotyczy,F,romans
Przeznaczenie dusz,Michael Newton,Wojciech Masiak,4.9,90.0,4.9,90.0,14.7,"Rozwój osobisty, Mindfulness i duchowość",Audiobook,Polski,2024-04-22,Nie dotyczy,M,rozwój osobisty
Literat,Agnieszka Pruska,Mateusz Drozda,4.4,943.0,4.6,899.0,7.7,"Kryminały, Powieści kryminalne, Kryminały klasyczne, Powieści detektywistyczne",Audiobook,Polski,2019-09-16,Tom 1 - Komisarz Barnaba Uszkier,M,kryminały
Babel,Rebecca F. Kuang,Sławomir Popek,4.4,951.0,4.2,897.0,25.5,Fantastyka,Audiobook,Polski,2023-03-08,Nie dotyczy,M,fantastyka
Demony Rosji,Witold Jurasz,Witold Jurasz,4.7,905.0,4.6,894.0,5.32,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2022-09-06,Nie dotyczy,M,literatura faktu
Stawiam na Tolka Banana,Adam Bahdaj,Janusz Zadura,4.7,91.0,4.8,89.0,7.95,"Dla dzieci, Dla dzieci w wieku 9+, Książki przygodowe dla dzieci",Audiobook,Polski,2022-06-15,Nie dotyczy,M,dla dzieci
Mroki I,Katarzyna Szewioła Nagel,Łukasz Chmielowski,4.2,92.0,4.1,89.0,15.02,Fantastyka,Audiobook,Polski,2021-05-17,Tom 1 - Mroki,M,fantastyka
Saga czasu przemiany. Tom 1. Ósme niebo,Łucja Wilewska,Ilona Chojnowska,4.2,91.0,4.6,89.0,8.08,"Fantastyka, Fantastyka romantyczna",Audiobook,Polski,2020-02-25,Tom 1 - Saga czasu przemiany,F,fantastyka
Pomroka,Agnieszka Jeż,Agata Skórska,4.2,88.0,4.3,89.0,10.23,"Kryminały, Powieści kryminalne",Audiobook,Polski,2023-08-23,Nie dotyczy,F,kryminały
Ostatni sprawiedliwy,Irena Matuszkiewicz,Aneta Todorczuk,4.1,91.0,4.7,89.0,7.48,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2022-02-10,Tom 10 - Lekko i z humorem,F,kryminały
W czarnej zimnej wodzie,Jan Godlewski,Filip Kosior,4.2,91.0,4.9,89.0,6.07,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2021-04-26,Nie dotyczy,M,kryminały
Zostań w domu,Agnieszka Pietrzyk,Andrzej Hausner,4.4,88.0,4.7,89.0,12.85,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2020-01-28,Nie dotyczy,M,kryminały
Cham niezbuntowany,Rafał A. Ziemkiewicz,Bartosz Głogowski,4.6,95.0,4.8,89.0,10.72,"Literatura faktu, Polityka i wojna",Audiobook,Polski,2020-06-17,Nie dotyczy,M,literatura faktu
Aseksualność,Anna Niemczyk,Agnieszka Postrzygacz,4.1,95.0,4.7,89.0,5.58,"Literatura faktu, Psychologia",Audiobook,Polski,2022-10-24,Nie dotyczy,F,literatura faktu
"Solista, czyli on, ona i jego żona",Piotr C.,Maciej Więckowski,4.1,87.0,4.7,89.0,10.35,Powieści,Audiobook,Polski,2022-10-05,Piotr C.,M,powieści
Leśniczówka,Ewa Formella,Agata Bieńkowska,4.4,91.0,4.6,89.0,4.5,Powieści,Audiobook,Polski,2021-05-04,Tom 5 - Być kobietą,F,powieści
Panny bez posagu,Cecily Sidgwick,Barbara Liberek,4.4,89.0,4.8,89.0,6.42,"Powieści, Powieści obyczajowe, Romans, Romans historyczny, Rozrywka i humor, Powieści humorystyczne",Audiobook,Polski,2024-02-26,Nie dotyczy,F,powieści
Dworek pod Malwami 1 - Pan Michał,Marian Piotr Rawinis,Ewa Sobczak,4.2,97.0,4.2,89.0,3.48,"Powieści, Romans, Sagi rodzinne",Audiobook,Polski,2021-08-02,Tom 1 - Dworek pod Malwami,F,powieści
Zaopiekuj się mną,Agnieszka Lingas-Łoniewska,Adrian Rozenek,4.5,93.0,4.8,89.0,7.37,Romans,Audiobook,Polski,2023-07-10,Nie dotyczy,M,romans
Paskuda & Co,Magdalena Kozak,Anna Ryźlak,4.5,90.0,4.6,89.0,6.07,"Rozrywka i humor, Satyry i parodie",Audiobook,Polski,2022-06-16,Nie dotyczy,F,rozrywka i humor
Słowiańska wiedźma,Dobromiła Agiles,Anna Szawiel,4.4,90.0,4.7,89.0,9.23,"Rozwój osobisty, Mindfulness i duchowość",Audiobook,Polski,2021-07-25,Nie dotyczy,F,rozwój osobisty
Dotrzeć do prawdy,Tomasz Wandzel,Wojciech Żołądkowicz,4.5,920.0,4.6,888.0,13.6,"Kryminały, Powieści kryminalne, Kryminały klasyczne, Powieści detektywistyczne",Audiobook,Polski,2022-04-04,Tom 1 - Komisarz Papaja,M,kryminały
Neurochirurg,Jay Jayamohan,Jacek Dragun,4.8,898.0,4.8,880.0,10.25,"Literatura faktu, Prawo, Przyroda i nauka",Audiobook,Polski,2021-03-23,Nie dotyczy,M,literatura faktu
Heydrich,Giancarlo Villa,Tomasz Ignaczak,4.4,99.0,4.8,88.0,44.0,"Biografie, Biografie polityczne i społeczne",Audiobook,Polski,2020-11-09,Nie dotyczy,M,biografie
Wspomnienia z domu umarłych,Fiodor Dostojewski,Marcin Popczyński,4.6,88.0,4.8,88.0,7.53,"Biografie, Literatura faktu, Społeczeństwo i kultura, Historia, Religia i filozofia",Audiobook,Polski,2023-08-11,Tom 17 - Genialni myśliciele,M,biografie
Kukułka i wrona,Magdalena Wolff,Aleksandra Justa,4.3,95.0,4.3,88.0,11.35,Fantastyka,Audiobook,Polski,2020-11-30,Nie dotyczy,F,fantastyka
Wikingowie. Tom 2. Najeźdźcy z Północy,Radosław Lewandowski,Wojciech Masiak,4.8,89.0,4.9,88.0,10.8,Fantastyka,Audiobook,Polski,2019-06-25,Tom 2 - Wikingowie,M,fantastyka
Ruchome święto,Ernest Hemingway,Krzysztof Szczepaniak,4.1,89.0,4.6,88.0,7.07,Klasyka,Audiobook,Polski,2023-03-22,Nie dotyczy,M,klasyka
Dywan z wkładką,Marta Kisiel,Anna Szymańczyk,4.5,97.0,4.8,88.0,7.45,"Kryminały, Powieści detektywistyczne",Audiobook,Polski,2023-05-15,Tom 1 - Tereska Trawna,F,kryminały
Zakładnicy strachu,Anna Jansson,Anna Dereszowska,4.6,94.0,4.8,88.0,11.48,"Kryminały, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2024-10-07,Tom 7 - Maria Wern,F,kryminały
Złoto nie rdzewieje. Jak inwestować w złoto?,Daniel Tokarz,Tomasz Kućma,4.7,91.0,4.7,88.0,4.45,"Literatura faktu, Ekonomia i biznes",Audiobook,Polski,2020-03-29,Nie dotyczy,M,literatura faktu
Seryjny narzeczony,Irena Matuszkiewicz,Aneta Todorczuk,4.3,90.0,4.7,88.0,9.98,Powieści,Audiobook,Polski,2021-12-31,Tom 8 - Lekko i z humorem,F,powieści
"Miłość, szkielet i spaghetti",Marta Obuch,Donata Cieslik,4.3,87.0,4.5,88.0,15.05,Powieści,Audiobook,Polski,2022-12-14,Nie dotyczy,F,powieści
Białe róże z Petersburga,Joanna Jax,Elżbieta Kijowska,4.4,90.0,4.4,88.0,14.05,"Powieści, Powieści historyczne",Audiobook,Polski,2020-02-11,Nie dotyczy,F,powieści
Bohun,Jacek Komuda,Leszek Filipowicz,4.6,93.0,4.8,88.0,10.2,"Powieści, Powieści historyczne",Audiobook,Polski,2011-04-21,Tom 1 - Opowieści Sarmackie!,M,powieści
Nie nasza godzina,Ewelina Dobosz,Agnieszka Postrzygacz,4.5,88.0,4.8,88.0,6.23,Romans,Audiobook,Polski,2023-09-06,Nie dotyczy,F,romans
Alfabet kobiecości,Małgorzata Szafrańska,Ilona Chojnowska,4.5,90.0,4.6,88.0,7.53,Rozwój osobisty,Audiobook,Polski,2023-02-01,Nie dotyczy,F,rozwój osobisty
Virion. Adept,Andrzej Ziemiański,Grzegorz Pawlak,4.8,917.0,4.9,879.0,17.93,Fantastyka,Audiobook,Polski,2019-05-15,Tom 3 - Imperium Achai,M,fantastyka
Córka cieni. Tom 3. Burza przed ciszą.,Ewa Cielesz,Joanna Gajór,4.8,885.0,4.8,879.0,13.92,Powieści,Audiobook,Polski,2023-01-09,Tom 3 - Córka cieni,F,powieści
Klasyka dla dzieci. Sherlock Holmes. Tom 29. Druga plama,Arthur Doyle,Maciej Więckowski,4.9,89.0,4.9,87.0,1.05,"Dla dzieci, Dla dzieci w wieku 6+, Dla dzieci w wieku 9+",Audiobook,Polski,2023-03-15,Nie dotyczy,M,dla dzieci
Kocia Szajka i czarne złoto,Agata Romaniuk,Agata Romaniuk,4.8,98.0,4.9,87.0,1.23,"Dla dzieci, Dla dzieci w wieku 6+, Książki przygodowe dla dzieci",Audiobook,Polski,2024-11-30,Tom 9 - Kocia Szajka,F,dla dzieci
Pożegnanie z bronią,Ernest Hemingway,Marcin Przybylski,4.4,86.0,4.7,87.0,10.03,Klasyka,Audiobook,Polski,2023-11-08,Nie dotyczy,M,klasyka
Zakopane. Pokój z widokiem na cmentarz,Jacek Rębacz,Maciej Szklarz,4.3,92.0,4.6,87.0,7.27,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2022-02-17,Tom 2 - Detektyw Piotr Klucha,M,kryminały
Wyspy niepoliczone. Indonezja z bliska,Tadeusz Biedzki,Krzysztof Plewako-Szczerbiński,4.5,87.0,4.1,87.0,6.92,"Literatura faktu, Podróże",Audiobook,Polski,2020-07-21,Nie dotyczy,M,literatura faktu
"Koncern Autokracja. Dyktatorzy, którzy chcą rządzić światem",Anne Applebaum,Ewa Abart,4.5,85.0,4.5,87.0,6.17,"Literatura faktu, Polityka i wojna",Audiobook,Polski,2024-10-11,Nie dotyczy,F,literatura faktu
"Ludzie, którzy szli. Opowiadanie oświęcimskie",Tadeusz Borowski,Marcin Popczyński,4.6,90.0,4.8,87.0,27.0,"Literatura faktu, Społeczeństwo i kultura, Historia",Audiobook,Polski,2024-04-02,Tom 3 - Tak rodzi się zło,M,literatura faktu
"Szybko, szybciej, najszybciej. Formuła 1 Sokolim Okiem",Mikołaj Sokół,Andrzej Borowczyk,4.7,87.0,4.7,87.0,15.97,"Literatura faktu, Sport",Audiobook,Polski,2023-04-06,Nie dotyczy,M,literatura faktu
Córka proboszcza,George Orwell,Bartosz Głogowski,4.1,91.0,4.5,87.0,10.05,Powieści,Audiobook,Polski,2023-09-27,Nie dotyczy,M,powieści
Pokolenie Ikea. Kobiety,Piotr C.,Konrad Makowski,4.1,90.0,4.6,87.0,8.75,Powieści,Audiobook,Polski,2022-11-09,Piotr C.,M,powieści
Pozostała tylko nadzieja,Lidia Czyż,Ewa Abart,4.5,90.0,4.5,87.0,8.68,Powieści,Audiobook,Polski,2023-03-27,Nie dotyczy,F,powieści
Arystokratka. Tom 5. Arystokratka na królewskim dworze,Evžen Boček,Mirella Rogoza-Biel,4.6,88.0,4.7,87.0,4.72,Powieści,Audiobook,Polski,2021-10-26,Tom 5 - Arystokratka,F,powieści
Dwieście wiosen. Stary kuferek,Grażyna Jeromin-Gałuszka,Donata Cieślik,4.7,90.0,4.7,87.0,9.88,"Powieści, Powieści obyczajowe",Audiobook,Polski,2021-06-29,Tom 5 - Dwieście wiosen,F,powieści
Projekt Księżna. Dynastia książęca. Tom 1,Sabrina Jeffries,Przemysław Bargiel,4.2,86.0,4.0,87.0,9.58,"Romans, Romans historyczny",Audiobook,Polski,2022-02-09,Dynastia książęca,M,romans
Inaczej o poczuciu własnej wartości,Andrzej Moszczyński,Aleksander Bromberek,4.3,98.0,4.7,87.0,1.25,Rozwój osobisty,Audiobook,Polski,2021-06-21,Nie dotyczy,M,rozwój osobisty
Seneka i inni myśliciele. Najpiękniejsze cytaty do praktykowania stoicyzmu,Seneka,Aleksander Bromberek,4.7,91.0,4.8,87.0,56.0,"Rozwój osobisty, Mindfulness i duchowość, Literatura faktu, Religia i filozofia",Audiobook,Polski,2024-11-27,Tom 12 - Poradniki do samodoskonalenia,M,rozwój osobisty
Córka cieni. Tom 2. Obce matki.,Ewa Cielesz,Joanna Gajór,4.8,888.0,4.8,868.0,11.28,Powieści,Audiobook,Polski,2018-04-10,Tom 2 - Córka cieni,F,powieści
Lew Starowicz o mężczyźnie,Lew Starowicz,Marcin Popczyński,4.4,891.0,4.7,864.0,5.02,"Rozwój osobisty, Rodzina i relacje",Audiobook,Polski,2021-11-12,Tom 1 - Lew Starowicz,M,rozwój osobisty
Baśnie i legendy japońskie,Maria Juszkiewiczowa,Masza Bogucka,4.0,108.0,4.5,86.0,1.92,"Dla dzieci, Dla dzieci w wieku 6+, Klasyka dla dzieci, Bajki i baśnie, Książki o zwierzętach i naturze dla dzieci",Audiobook,Polski,2020-07-13,Nie dotyczy,F,dla dzieci
Siewca Wiatru,Maja Lidia Kossakowska,Krzysztof Wakuliński,4.7,88.0,4.4,86.0,19.35,Fantastyka,Audiobook,Polski,2014-06-13,Tom 2 - Zastępy Anielskie,M,fantastyka
Pierwszy krok w chmurach i inne opowiadania,Marek Hłasko,Jan Marczewski,4.6,87.0,4.7,86.0,7.27,Klasyka,Audiobook,Polski,2023-10-18,Tom 7 - Kaskaderzy literatury,M,klasyka
Lot 202,Remigiusz Mróz,Piotr Grabowski,4.7,89.0,4.7,86.0,16.97,"Kryminały, Powieści kryminalne",Audiobook,Polski,2020-05-20,Nie dotyczy,M,kryminały
Moc krwi,Joanna Tekieli,Joanna Domańska,4.3,88.0,4.7,86.0,9.57,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2022-03-23,Nie dotyczy,F,kryminały
Dworek nad Biebrzą. Tom 1. Zaginione klejnoty,Urszula Gajdowska,Ilona Chojnowska,4.5,86.0,4.6,86.0,11.0,"Literatura faktu, Historia",Audiobook,Polski,2023-07-05,Tom 1 - Dworek nad Biebrzą,F,literatura faktu
Italia. Kraina kontrastów i różnorodności. Włochy Północne,Natalia Rosiak,Alicja Gierłowska,4.3,87.0,4.1,86.0,8.12,"Literatura faktu, Podróże",Audiobook,Polski,2023-05-17,Nie dotyczy,F,literatura faktu
Czas przed śmiercią: część 1,Jesper Bugge Kold,Robert Michalak,4.3,101.0,4.6,86.0,56.0,"Powieści, Powieści historyczne, Literatura wojenna",Audiobook,Polski,2019-12-13,Tom 1 - Czas przed śmiercią,M,powieści
Bliski koniec,Joanna Jax,Barbara Liberek,4.7,92.0,4.7,86.0,9.9,"Powieści, Powieści historyczne, Sagi rodzinne",Audiobook,Polski,2021-12-13,Nie dotyczy,F,powieści
Syzyfowe Prace,Stefan Żeromski,Tomasz Czarnecki,3.3,96.0,4.5,86.0,6.97,"Powieści, Powieści obyczajowe, Klasyka",Audiobook,Polski,2018-04-21,Nie dotyczy,M,powieści
Zapach makadamii,Anna Wojtkowska-Witala,Anna Dudziak-Klempka,4.3,86.0,4.3,86.0,8.23,Romans,Audiobook,Polski,2021-05-04,Nie dotyczy,F,romans
Szakal,L.J. Shen,Konrad Darocha,4.5,106.0,4.5,86.0,12.95,Romans,Audiobook,Polski,2022-12-01,Święci grzesznicy,M,romans
Bez hamulców,Aleksandra Pakuła,Anna Matusiak,4.5,91.0,4.7,86.0,6.68,Romans,Audiobook,Polski,2022-07-26,Nie dotyczy,F,romans
(Nie)bezpieczna znajomość,Katarzyna Piątek,Domańska,4.5,85.0,4.6,86.0,9.48,Romans,Audiobook,Polski,2022-11-16,Nie dotyczy,F,romans
Jesień otula spokojem,Karolina Wilczyńska,Karolina Kalina,4.6,86.0,4.6,86.0,8.03,Romans,Audiobook,Polski,2024-05-14,Nie dotyczy,F,romans
Wytrwaj przy mnie,Katarzyna Muszyńska,Maria Kozłowska,4.4,112.0,4.6,86.0,6.92,"Romans, Romans sensacyjny",Audiobook,Polski,2022-01-28,Nie dotyczy,M,romans
Zew serca - Ponadczasowe historie miłosne Barbary Cartland,Barbara Cartland,Katarzyna Bagniewska,4.3,104.0,4.5,86.0,5.75,"Romans, Romans sensacyjny, Romans historyczny",Audiobook,Polski,2020-10-12,Tom 1 - Najpiękniejsze miłości,F,romans
Toksyczna pozytywność,Whitney Goodman,Ewa Konstanciak,4.3,95.0,4.6,86.0,8.4,"Rozwój osobisty, Rodzina i relacje, Zdrowie",Audiobook,Polski,2022-05-18,Nie dotyczy,F,rozwój osobisty
Powrót,Michał Gołkowski,Bartosz Głogowski,4.7,93.0,4.6,86.0,8.4,Sci-fi,Audiobook,Polski,2021-04-01,Tom 5 - S.T.A.L.K.E.R.,M,sci-fi
NIEZDOBYTA. TOM 1 i 2,MELISSA DARWOOD,Magda Karel,4.7,995.0,4.8,859.0,21.38,Romans,Audiobook,Polski,2022-08-13,Nie dotyczy,F,romans
Odpoczywaj w pokoju,Sofie Sarenbrant,Agata Kulesza,4.2,914.0,4.8,857.0,9.2,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2022-07-04,Tom 1 - Emma Sköld,F,kryminały
Okra,Konrad Modrzejewski,Filip Kosior,4.4,885.0,4.9,854.0,7.27,"Kryminały, Thrillery, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2023-09-25,Tom 2 - Komisarz Filip Schiller,M,kryminały
